                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99511,                 1.9945,                 1.4352,                0.71091,                0.73852,                 0.7856,                0.57609,                0.92346,                 1.1003,                 1.4801,              0.0033279,              0.0033279,              0.0033279
                      2,                0.89853,                 0.8791,                 1.3072,                0.75179,                0.84313,                0.89068,                0.66187,                 0.9224,                0.92973,                 1.4802,              0.0066283,              0.0066283,              0.0066283
                      3,                0.94918,                0.94239,                 1.3352,                0.76176,                 0.7736,                0.82124,                0.58993,                0.98951,                0.95206,                 1.5696,              0.0098957,              0.0098957,              0.0098957
                      4,                 0.9741,                0.98377,                 1.3562,                0.79796,                 0.8226,                0.88874,                0.68088,                0.86424,                0.85883,                 1.4319,              0.0098515,              0.0098515,              0.0098515
                      5,                0.95038,                0.88213,                 1.3337,                0.85909,                0.88625,                0.93953,                0.72476,                0.85462,                0.67592,                 1.4209,               0.009802,               0.009802,               0.009802
                      6,                0.92034,                0.80301,                 1.3074,                0.84223,                0.88796,                0.93824,                0.72647,                0.83973,                0.69584,                 1.4103,              0.0097525,              0.0097525,              0.0097525
                      7,                 0.9161,                0.75645,                 1.2972,                0.88133,                0.88993,                0.93534,                0.73996,                0.80678,                0.61134,                 1.3632,               0.009703,               0.009703,               0.009703
                      8,                0.89805,                0.72331,                 1.2807,                0.89369,                0.88166,                0.95445,                0.76165,                0.80576,                0.62331,                 1.3502,              0.0096535,              0.0096535,              0.0096535
                      9,                0.88788,                0.69677,                 1.2742,                0.92142,                0.91481,                0.97287,                0.78284,                0.79208,                0.52318,                  1.335,               0.009604,               0.009604,               0.009604
                     10,                0.85596,                0.66114,                 1.2635,                0.92131,                0.94435,                0.97346,                0.78778,                0.79292,                0.49172,                 1.3387,              0.0095545,              0.0095545,              0.0095545
                     11,                0.86173,                0.64589,                 1.2587,                0.91719,                0.94755,                0.97482,                0.78987,                0.77053,                0.48201,                  1.311,               0.009505,               0.009505,               0.009505
                     12,                0.85173,                0.62655,                  1.255,                0.92465,                0.95507,                0.97345,                0.79699,                0.75947,                 0.4489,                 1.2981,              0.0094555,              0.0094555,              0.0094555
                     13,                 0.8499,                0.62132,                 1.2511,                 0.9264,                 0.9583,                0.97406,                0.79932,                0.75239,                0.43819,                 1.2964,               0.009406,               0.009406,               0.009406
                     14,                0.83704,                0.60317,                 1.2412,                0.93849,                0.95509,                 0.9829,                 0.8099,                0.73899,                0.43193,                 1.2831,              0.0093565,              0.0093565,              0.0093565
                     15,                0.84271,                0.60057,                 1.2428,                0.93424,                0.95227,                0.98066,                 0.8065,                0.75143,                0.43751,                  1.282,               0.009307,               0.009307,               0.009307
                     16,                 0.8258,                0.57441,                 1.2353,                0.93507,                0.95818,                0.98255,                0.81136,                0.74606,                0.42059,                 1.2775,              0.0092575,              0.0092575,              0.0092575
                     17,                0.82539,                0.57281,                 1.2339,                0.94549,                0.96737,                0.98466,                0.81856,                0.73692,                0.39739,                 1.2661,               0.009208,               0.009208,               0.009208
                     18,                0.81613,                0.55501,                 1.2267,                 0.9401,                0.96681,                0.98317,                0.81946,                0.72058,                0.38981,                  1.252,              0.0091585,              0.0091585,              0.0091585
                     19,                0.80878,                0.55673,                  1.225,                0.92698,                0.97184,                0.98317,                0.81704,                0.71889,                0.39438,                 1.2528,               0.009109,               0.009109,               0.009109
                     20,                 0.8099,                0.54656,                  1.221,                0.94649,                0.96378,                0.98441,                0.82516,                0.71356,                0.39071,                  1.241,              0.0090595,              0.0090595,              0.0090595
                     21,                0.80472,                0.53727,                 1.2206,                 0.9455,                0.96769,                0.98411,                0.82868,                0.71157,                0.37884,                 1.2369,                0.00901,                0.00901,                0.00901
                     22,                0.81048,                0.53799,                 1.2176,                0.95679,                0.96741,                0.98381,                0.83128,                0.70784,                0.37067,                 1.2304,              0.0089605,              0.0089605,              0.0089605
                     23,                0.79362,                0.52399,                 1.2119,                0.94053,                0.95928,                0.98221,                0.82637,                0.70398,                0.38295,                 1.2345,               0.008911,               0.008911,               0.008911
                     24,                0.79622,                 0.5241,                 1.2157,                0.94718,                0.96897,                0.98447,                0.82968,                0.70475,                0.36342,                 1.2251,              0.0088615,              0.0088615,              0.0088615
                     25,                0.80009,                 0.5149,                 1.2115,                 0.9422,                0.97711,                0.98441,                0.83135,                0.69791,                0.36186,                 1.2249,               0.008812,               0.008812,               0.008812
                     26,                0.79328,                0.51646,                 1.2123,                0.95115,                0.96388,                0.98598,                0.83565,                0.69366,                0.35846,                 1.2189,              0.0087625,              0.0087625,              0.0087625
                     27,                0.79829,                0.51325,                 1.2075,                0.95484,                0.97817,                0.98837,                0.83723,                0.68885,                0.34881,                 1.2162,               0.008713,               0.008713,               0.008713
                     28,                0.78963,                0.50687,                 1.2087,                0.96553,                 0.9719,                0.98619,                0.83988,                0.69251,                0.34789,                  1.213,              0.0086635,              0.0086635,              0.0086635
                     29,                0.78253,                0.49862,                  1.201,                0.95095,                 0.9752,                0.98613,                0.84142,                0.67895,                0.35018,                 1.2009,               0.008614,               0.008614,               0.008614
                     30,                  0.776,                0.49594,                 1.1969,                 0.9493,                0.97075,                0.98569,                0.84191,                0.68176,                0.34359,                 1.2052,              0.0085645,              0.0085645,              0.0085645
                     31,                0.78228,                0.49425,                 1.2016,                0.94837,                0.97186,                0.98668,                0.83896,                0.68165,                0.34859,                  1.206,               0.008515,               0.008515,               0.008515
                     32,                0.78167,                0.49389,                 1.2046,                0.95045,                0.97063,                0.98587,                0.84113,                0.67386,                0.33704,                 1.2019,              0.0084655,              0.0084655,              0.0084655
